"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16795","3. Homepage contains all required section titles","webkit","Tue Oct 07 02:02:27 UTC 2025","passed","Tue Oct 07 02:02:44 UTC 2025","Redmine homepage tests","003-Homepage-contains-all-required-section-titles.spec.ts","",""
"","6882","5. Clicking ""Home"" returns to the homepage from a random menu item","chromium","Tue Oct 07 01:59:01 UTC 2025","passed","Tue Oct 07 01:59:08 UTC 2025","Redmine homepage tests","005-“Home”-button-returns-to-the-homepage.spec.ts","",""
"","3948","4. Clicking ""Activity"" opens the correct page","chromium","Tue Oct 07 01:58:57 UTC 2025","passed","Tue Oct 07 01:59:01 UTC 2025","Redmine homepage tests","004-“Activity”-button-opens-the-correct-page.spec.ts","",""
"","23565","2. Main menu has 9 clickable links","firefox","Tue Oct 07 01:59:14 UTC 2025","passed","Tue Oct 07 01:59:37 UTC 2025","Redmine homepage tests","002-Main-menu-contains-9-clickable-links.spec.ts","",""
"","5321","5. Clicking ""Home"" returns to the homepage from a random menu item","webkit","Tue Oct 07 02:02:48 UTC 2025","passed","Tue Oct 07 02:02:54 UTC 2025","Redmine homepage tests","005-“Home”-button-returns-to-the-homepage.spec.ts","",""
"","29088","3. Homepage contains all required section titles","firefox","Tue Oct 07 01:59:37 UTC 2025","passed","Tue Oct 07 02:00:06 UTC 2025","Redmine homepage tests","003-Homepage-contains-all-required-section-titles.spec.ts","",""
"","4558","1. Homepage has the correct title","firefox","Tue Oct 07 01:59:08 UTC 2025","passed","Tue Oct 07 01:59:13 UTC 2025","Redmine homepage tests","001-Homepage-has-the-correct-title.spec.ts","",""
"","28219","5. Clicking ""Home"" returns to the homepage from a random menu item","firefox","Tue Oct 07 02:00:36 UTC 2025","passed","Tue Oct 07 02:01:04 UTC 2025","Redmine homepage tests","005-“Home”-button-returns-to-the-homepage.spec.ts","",""
"","31332","2. Main menu has 9 clickable links","webkit","Tue Oct 07 02:01:56 UTC 2025","passed","Tue Oct 07 02:02:27 UTC 2025","Redmine homepage tests","002-Main-menu-contains-9-clickable-links.spec.ts","",""
"","49507","1. Homepage has the correct title","webkit","Tue Oct 07 02:01:05 UTC 2025","passed","Tue Oct 07 02:01:55 UTC 2025","Redmine homepage tests","001-Homepage-has-the-correct-title.spec.ts","",""
"","29543","4. Clicking ""Activity"" opens the correct page","firefox","Tue Oct 07 02:00:06 UTC 2025","passed","Tue Oct 07 02:00:36 UTC 2025","Redmine homepage tests","004-“Activity”-button-opens-the-correct-page.spec.ts","",""
"","12655","1. Homepage has the correct title","chromium","Tue Oct 07 01:58:28 UTC 2025","passed","Tue Oct 07 01:58:41 UTC 2025","Redmine homepage tests","001-Homepage-has-the-correct-title.spec.ts","",""
"","6301","3. Homepage contains all required section titles","chromium","Tue Oct 07 01:58:51 UTC 2025","passed","Tue Oct 07 01:58:57 UTC 2025","Redmine homepage tests","003-Homepage-contains-all-required-section-titles.spec.ts","",""
"","8982","2. Main menu has 9 clickable links","chromium","Tue Oct 07 01:58:41 UTC 2025","passed","Tue Oct 07 01:58:50 UTC 2025","Redmine homepage tests","002-Main-menu-contains-9-clickable-links.spec.ts","",""
"","4502","4. Clicking ""Activity"" opens the correct page","webkit","Tue Oct 07 02:02:44 UTC 2025","passed","Tue Oct 07 02:02:48 UTC 2025","Redmine homepage tests","004-“Activity”-button-opens-the-correct-page.spec.ts","",""
